game_id,season,home_team,away_team,spread,expected_winner,actual_winner,result_type,big_home_favorite_upset,big_away_favorite_upset
1999_01_DET_SEA,1999,SEA,DET,9.5,SEA,DET,upset,True,False
1999_01_NE_NYJ,1999,NYJ,NE,7.0,NYJ,NE,upset,True,False
1999_02_GB_DET,1999,DET,GB,-6.5,GB,DET,upset,False,True
1999_02_OAK_MIN,1999,MIN,LV,11.0,MIN,LV,upset,True,False
1999_03_TEN_JAX,1999,JAX,TEN,9.5,JAX,TEN,upset,True,False
1999_05_CHI_MIN,1999,MIN,CHI,13.0,MIN,CHI,upset,True,False
1999_05_DAL_PHI,1999,PHI,DAL,-9.5,DAL,PHI,upset,False,True
1999_05_DEN_OAK,1999,LV,DEN,7.0,LV,DEN,upset,True,False
1999_06_PHI_CHI,1999,CHI,PHI,6.5,CHI,PHI,upset,True,False
1999_08_CLE_NO,1999,NO,CLE,9.5,NO,CLE,upset,True,False
1999_09_CHI_GB,1999,GB,CHI,9.0,GB,CHI,upset,True,False
1999_10_CLE_PIT,1999,PIT,CLE,14.5,PIT,CLE,upset,True,False
1999_12_CIN_PIT,1999,PIT,CIN,11.0,PIT,CIN,upset,True,False
1999_14_CAR_GB,1999,GB,CAR,8.0,GB,CAR,upset,True,False
1999_14_NYG_BUF,1999,BUF,NYG,8.0,BUF,NYG,upset,True,False
1999_14_SD_SEA,1999,SEA,LAC,9.5,SEA,LAC,upset,True,False
1999_16_DAL_NO,1999,NO,DAL,-8.5,DAL,NO,upset,False,True
1999_17_SD_DEN,1999,DEN,LAC,7.0,DEN,LAC,upset,True,False
1999_17_STL_PHI,1999,PHI,LA,-8.0,LA,PHI,upset,False,True
1999_20_TEN_JAX,1999,JAX,TEN,7.0,JAX,TEN,upset,True,False
2000_02_OAK_IND,2000,IND,LV,6.5,IND,LV,upset,True,False
2000_03_DAL_WAS,2000,WAS,DAL,10.5,WAS,DAL,upset,True,False
2000_04_KC_DEN,2000,DEN,KC,7.0,DEN,KC,upset,True,False
2000_04_NYJ_TB,2000,TB,NYJ,7.0,TB,NYJ,upset,True,False
2000_04_SF_DAL,2000,DAL,SF,6.5,DAL,SF,upset,True,False
2000_05_DAL_CAR,2000,CAR,DAL,6.5,CAR,DAL,upset,True,False
2000_05_NE_DEN,2000,DEN,NE,8.5,DEN,NE,upset,True,False
2000_05_PIT_JAX,2000,JAX,PIT,11.0,JAX,PIT,upset,True,False
2000_06_PIT_NYJ,2000,NYJ,PIT,8.0,NYJ,PIT,upset,True,False
2000_08_DEN_CIN,2000,CIN,DEN,-10.0,DEN,CIN,upset,False,True
2000_08_DET_TB,2000,TB,DET,8.0,TB,DET,upset,True,False
2000_08_STL_KC,2000,KC,LA,-7.0,LA,KC,upset,False,True
2000_10_CAR_STL,2000,LA,CAR,13.5,LA,CAR,upset,True,False
2000_10_IND_CHI,2000,CHI,IND,-7.0,IND,CHI,upset,False,True
2000_10_WAS_ARI,2000,ARI,WAS,-10.0,WAS,ARI,upset,False,True
2000_11_NE_CLE,2000,CLE,NE,-7.0,NE,CLE,upset,False,True
2000_11_SEA_JAX,2000,JAX,SEA,7.5,JAX,SEA,upset,True,False
2000_12_TB_CHI,2000,CHI,TB,-8.0,TB,CHI,upset,False,True
2000_13_NO_STL,2000,LA,NO,13.5,LA,NO,upset,True,False
2000_13_PHI_WAS,2000,WAS,PHI,7.0,WAS,PHI,upset,True,False
2000_14_STL_CAR,2000,CAR,LA,-8.0,LA,CAR,upset,False,True
2000_16_DET_NYJ,2000,NYJ,DET,6.5,NYJ,DET,upset,True,False
2000_16_GB_MIN,2000,MIN,GB,7.5,MIN,GB,upset,True,False
2000_16_JAX_CIN,2000,CIN,JAX,-10.5,JAX,CIN,upset,False,True
2000_17_CHI_DET,2000,DET,CHI,10.0,DET,CHI,upset,True,False
2001_01_CAR_MIN,2001,MIN,CAR,10.0,MIN,CAR,upset,True,False
2001_01_MIA_TEN,2001,TEN,MIA,6.5,TEN,MIA,upset,True,False
2001_02_BAL_CIN,2001,CIN,BAL,-7.0,BAL,CIN,upset,False,True
2001_03_CLE_JAX,2001,JAX,CLE,8.5,JAX,CLE,upset,True,False
2001_03_IND_NE,2001,NE,IND,-11.5,IND,NE,upset,False,True
2001_04_ARI_PHI,2001,PHI,ARI,14.5,PHI,ARI,upset,True,False
2001_06_ATL_NO,2001,NO,ATL,8.0,NO,ATL,upset,True,False
2001_06_BAL_CLE,2001,CLE,BAL,-7.5,BAL,CLE,upset,False,True
